,3104154,3107391,3107235,3107442,3106688,3107448,3102500,3103692,3107462,3102219,3107472,3107340,3107524,3104654,3102231,3103677,3102259,3104088,3102521,3102413,3104483,3102434,3103957,3103182,3102579,3102591,3104761,3102592,3104762,3102593,3103108,3102601,3103513,3103777,3103354,3102684,3102973,3104899,3104937,3105012,3103081,3105013,3105036,3103109,3105037,3105038,3103110,3105039,3105072,3105126,3105168,3105174,3105347,3103344,3105348,3103345,3105349,3105366,3105367,3103353,3105368,3105369,3105370,3105371,3105655,3105659,3103618,3105782,3104477,3105801,3103850,3105826,3105838,3103791,3103830,3104004,3105907,3105940,3105947,3106053,3106067,3106121,3106122,3106129,3106132,3106205,3106217,3104078,3106223,3106229,3106260,3106261,3104259,3106310,3104178,3106349,3106382,3106461,3106486,3106518,3106527,3104296,3106535,3106541,3106640,3106644,3106659,3106702,3106703,3106753,3106779,3106831,3106867,3104548,3104594,3106607,3104597,3106926,3104634,3106971,3106990,3107008,3104653,3107009,3107010,3104661,3107586,3108028,3108029,3108033,3108061,3108062,3108063,3108064,3108065,3108074,3108075,3108076,3108077,3108078,3108079,3108086,3108087,3108088,3108089,3108090,3108136,3108140,3108143,3108145,3108160,3108162,3108208,3108209,3108210,3108215,3108220,3108221,3108224,3108231,3108242,3108256,3108284,3108392,3108424,3108425,3108434,3108447,3108450,3108452,3108453,3108461,3108468,3108469,3108471,3108508,3108534,3108547,3108561,3108563,3108617,3108636,3108665,3108671
0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183
